"id","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality"
99,"JAM","North America","Jamaica","2021-07-09","50568","71","46.571","1111","3","4.143","17077.086","23.977","15.727","375.191","1.013","1.399","","","","","","","","","","","","","","","","","","","288320","176879","111441","","2738","9.74","5.97","3.76","925","","2961161","266.879","31.4","9.684","6.39","8193.571","","206.537","11.28","5.3","28.6","66.425","1.7","74.47","0.734",""
100,"JPN","Asia","Japan","2021-07-09","816593","2274","1825.857","14885","20","15.143","6456.482","17.98","14.436","117.69","0.158","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126476458","347.778","48.2","27.049","18.493","39002.223","","79.37","5.72","11.2","33.7","","13.05","84.63","0.919",""
101,"JOR","Asia","Jordan","2021-07-09","755948","468","507.571","9818","6","8.286","74089.741","45.868","49.747","962.253","0.588","0.812","","","","","","","","","","","","","","","","","","","4244779","2610278","1634501","","46937","41.6","25.58","16.02","4600","","10203140","109.285","23.2","3.81","2.361","8337.49","0.1","208.257","11.75","","","","1.4","74.53","0.729",""
102,"KAZ","Asia","Kazakhstan","2021-07-09","505630","3049","2489.429","3561","5","3.143","26928.577","162.382","132.581","189.65","0.266","0.167","","","","","","","","","","","","","","","","","","","6470158","4134139","2336019","166269","125918","34.46","22.02","12.44","6706","","18776707","6.681","30.6","6.991","4.625","24055.588","0.1","466.792","7.11","7","43.1","98.999","6.7","73.6","0.825",""
103,"KEN","Africa","Kenya","2021-07-09","187977","452","416.714","3718","2","9.571","3495.861","8.406","7.75","69.145","0.037","0.178","","","","","","","","","","","","","","","","","","","1530551","1025427","505124","6107","11843","2.85","1.91","0.94","220","","53771300","87.324","20","2.686","1.528","2993.028","36.8","218.637","2.92","1.2","20.4","24.651","1.4","66.7","0.601",""
104,"KIR","Oceania","Kiribati","2021-07-09","2","0","0","","","0","16.744","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119446","143.701","23.2","3.895","2.21","1981.132","","434.657","22.66","35.9","58.9","","1.9","68.37","0.63",""
105,"OWID_KOS","Europe","Kosovo","2021-07-09","107835","8","7.143","2268","2","0.857","55792.866","4.139","3.696","1173.443","1.035","0.443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1932774","168.155","","","","9795.834","0.6","","","","","","","","",""
106,"KWT","Asia","Kuwait","2021-07-09","372549","1617","1734.714","2089","18","13.429","87236.507","378.639","406.203","489.163","4.215","3.144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4270563","232.128","33.7","2.345","1.114","65530.537","","132.235","15.84","2.7","37","","2","75.49","0.806",""
107,"KGZ","Asia","Kyrgyzstan","2021-07-09","137058","1319","1311.143","2083","10","9.143","21007.662","202.171","200.966","319.273","1.533","1.401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6524191","32.333","26.3","4.489","2.882","3393.474","1.4","436.362","7.11","3.6","50.5","89.22","4.5","71.45","0.697",""
108,"LAO","Asia","Laos","2021-07-09","2537","68","51.571","3","0","0","348.702","9.346","7.088","0.412","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7275556","29.715","24.4","4.029","2.322","6397.36","22.7","368.111","4","7.3","51.2","49.839","1.5","67.92","0.613",""
109,"LVA","Europe","Latvia","2021-07-09","137831","34","41.571","2536","1","1.429","73073.298","18.026","22.04","1344.501","0.53","0.757","","","","","","","","","","","","","","","","","","","1229540","695298","607478","8732","7597","65.19","36.86","32.21","4028","","1886202","31.212","43.9","19.754","14.136","25063.846","0.7","350.06","4.91","25.6","51","","5.57","75.29","0.866",""
110,"LBN","Asia","Lebanon","2021-07-09","547170","404","277.714","7871","2","2.143","80166.237","59.19","40.688","1153.185","0.293","0.314","","","","","","","","","","","","","","","","","","","1534259","1003157","531102","15998","22523","22.48","14.7","7.78","3300","","6825442","594.561","31.1","8.514","5.43","13367.565","","266.591","12.71","26.9","40.7","","2.9","78.93","0.744",""
111,"LSO","Africa","Lesotho","2021-07-09","11646","2","14.571","335","0","0.857","5436.335","0.934","6.802","156.377","0","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2142252","73.562","22.2","4.506","2.647","2851.153","59.6","405.126","3.94","0.4","53.9","2.117","","54.33","0.527",""
112,"LBR","Africa","Liberia","2021-07-09","5080","86","80","142","7","1.286","1004.414","17.004","15.818","28.076","1.384","0.254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5057677","49.127","19.2","3.057","1.756","752.788","38.6","272.509","2.42","1.5","18.1","1.188","0.8","64.1","0.48",""
113,"LBY","Africa","Libya","2021-07-09","201236","1710","987.571","3232","5","3.857","29286.508","248.862","143.724","470.363","0.728","0.561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6871287","3.623","29","4.424","2.816","17881.509","","341.862","10.43","","","","3.7","72.91","0.724",""
114,"LIE","Europe","Liechtenstein","2021-07-09","3054","2","2","59","0","0","80079.713","52.443","52.443","1547.054","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38137","237.012","","","","","","","7.77","","","","2.397","82.49","0.919",""
115,"LTU","Europe","Lithuania","2021-07-09","279094","70","38.286","4396","0","1.286","102521.736","25.714","14.064","1614.816","0","0.472","","","","","","","","","","","","","","","","","","","2405523","1275230","1130293","15441","11034","88.36","46.84","41.52","4053","","2722291","45.135","43.5","19.002","13.778","29524.265","0.7","342.989","3.67","21.3","38","","6.56","75.93","0.882",""
116,"LUX","Europe","Luxembourg","2021-07-09","72010","131","139.857","819","0","0.143","115036.359","209.273","223.423","1308.357","0","0.228","","","","","","","","","","","","","","","","","","","604188","365471","238717","4924","6226","96.52","58.38","38.14","9946","","625976","231.447","39.7","14.312","9.842","94277.965","0.2","128.275","4.42","20.9","26","","4.51","82.25","0.916",""
117,"MAC","Asia","Macao","2021-07-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401532","257597","140317","6623","6711","61.84","39.67","21.61","10335","","649342","20546.766","39.2","9.798","4.991","104861.851","","","","","","","","84.24","",""
118,"MDG","Africa","Madagascar","2021-07-09","42392","16","18.286","928","1","1.429","1530.893","0.578","0.66","33.513","0.036","0.052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27691019","43.951","19.6","2.929","1.686","1416.44","77.6","405.994","3.94","","","50.54","0.2","67.04","0.528",""
119,"MWI","Africa","Malawi","2021-07-09","38434","451","265.857","1234","7","4.571","2009.1","23.576","13.897","64.506","0.366","0.239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19129955","197.519","18.1","2.979","1.783","1095.042","71.4","227.349","3.94","4.4","24.7","8.704","1.3","64.26","0.483",""
120,"MYS","Asia","Malaysia","2021-07-09","817838","9180","7412.714","5980","77","93.286","25268.431","283.631","229.028","184.762","2.379","2.882","","","","","","","","","","","","","","","","","","","10750748","7435877","3314871","337478","309694","33.22","22.97","10.24","9568","","32365998","96.254","29.9","6.293","3.407","26808.164","0.1","260.942","16.74","1","42.4","","1.9","76.16","0.81",""
121,"MDV","Asia","Maldives","2021-07-09","74903","55","118.429","213","0","0","138570.176","101.75","219.092","394.049","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","540542","1454.433","30.6","4.12","2.875","15183.616","","164.905","9.19","2.1","55","95.803","","78.92","0.74",""
122,"MLI","Africa","Mali","2021-07-09","14457","2","3.143","528","0","0.429","713.897","0.099","0.155","26.073","0","0.021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20250834","15.196","16.4","2.519","1.486","2014.306","","268.024","2.42","1.6","23","52.232","0.1","59.31","0.434",""
123,"MLT","Europe","Malta","2021-07-09","30851","96","31.143","420","0","0","69871.518","217.421","70.533","951.218","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","441539","1454.037","42.4","19.426","11.324","36513.323","0.2","168.711","8.83","20.9","30.2","","4.485","82.53","0.895",""
124,"MHL","Oceania","Marshall Islands","2021-07-09","4","0","0","","","0","67.574","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59194","295.15","","","","3819.202","","557.793","30.53","","","82.502","2.7","73.7","0.704",""
125,"MRT","Africa","Mauritania","2021-07-09","21499","196","74.571","493","3","0.571","4623.779","42.154","16.038","106.029","0.645","0.123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4649660","4.289","20.3","3.138","1.792","3597.633","6","232.347","2.42","","","15.95","","64.92","0.546",""
126,"MUS","Africa","Mauritius","2021-07-09","1858","0","0","18","0","0","1460.959","0","0","14.154","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1271767","622.962","37.4","10.945","5.884","20292.745","0.5","224.644","22.02","3.2","40.7","","3.4","74.99","0.804",""
127,"MEX","North America","Mexico","2021-07-09","2577140","9319","6564","234675","217","178.143","19988.249","72.278","50.91","1820.135","1.683","1.382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128932753","66.444","29.3","6.857","4.321","17336.469","2.5","152.783","13.06","6.9","21.4","87.847","1.38","75.05","0.779",""
128,"FSM","Oceania","Micronesia (country)","2021-07-09","1","0","0","","","0","8.694","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115021","150.777","23","4.81","2.392","3299.464","16","454.343","12.02","","","","","67.88","0.62",""
129,"MDA","Europe","Moldova","2021-07-09","257343","71","67.571","6207","2","1.857","63794.09","17.601","16.751","1538.685","0.496","0.46","","","","","","","","","","","1294241","320.836","","4385","1.087","","","tests performed","784671","479124","305547","10484","6958","19.45","11.88","7.57","1725","","4033963","123.655","37.6","10.864","6.955","5189.972","0.2","408.502","5.72","5.9","44.6","86.979","5.8","71.9","0.75",""
130,"MCO","Europe","Monaco","2021-07-09","2611","8","3.571","33","0","0","66532.464","203.853","91.006","840.893","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39244","19347.5","","","","","","","5.46","","","","13.8","86.75","",""
131,"MNG","Asia","Mongolia","2021-07-09","134270","0","1990.143","660","0","9.714","40957.303","0","607.067","201.324","0","2.963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3278292","1.98","28.6","4.031","2.421","11840.846","0.5","460.043","4.82","5.5","46.5","71.18","7","69.87","0.737",""
132,"MNE","Europe","Montenegro","2021-07-09","100430","16","19.714","1620","1","1","159904.595","25.475","31.389","2579.363","1.592","1.592","","","","","","","","","","","","","","","","","","","300611","157177","143434","1239","1284","47.86","25.03","22.84","2044","","628062","46.28","39.1","14.762","9.395","16409.288","1","387.305","10.08","44","47.9","","3.861","76.88","0.829",""
133,"MAR","Africa","Morocco","2021-07-09","539839","1250","977.857","9351","5","6.286","14625.598","33.866","26.493","253.342","0.135","0.17","","","","","","","","","","","","","","","","","","","19570153","10349861","9220292","38811","50103","53.02","28.04","24.98","1357","","36910558","80.08","29.6","6.769","4.209","7485.013","1","419.146","7.14","0.8","47.1","","1.1","76.68","0.686",""
134,"MMR","Asia","Myanmar","2021-07-09","184375","4320","3309.286","3685","64","45.857","3388.636","79.397","60.822","67.727","1.176","0.843","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54409794","81.721","29.1","5.732","3.12","5591.597","6.4","202.104","4.61","6.3","35.2","79.287","0.9","67.13","0.583",""
135,"NAM","Africa","Namibia","2021-07-09","102373","1372","1357.714","1883","71","42.429","40289.801","539.963","534.34","741.071","27.943","16.698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2540916","3.078","22","3.552","2.085","9541.808","13.4","243.811","3.94","9.7","34.2","44.6","","63.71","0.646",""
136,"NRU","Oceania","Nauru","2021-06-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9313","7499","1814","","228","85.96","69.22","16.74","21045","","10834","682.45","","","","12895.635","","","24.07","43","36.9","","5","59.96","",""
137,"NPL","Asia","Nepal","2021-07-09","652859","1479","1543.714","9340","20","23","22406.675","50.761","52.982","320.557","0.686","0.789","","","","","","","","","","","","","","","","","","","3576315","2611807","964508","","30595","12.27","8.96","3.31","1050","","29136808","204.43","25","5.809","3.212","2442.804","15","260.797","7.26","9.5","37.8","47.782","0.3","70.78","0.602",""
138,"NLD","Europe","Netherlands","2021-07-09","1736666","6960","3163.143","18048","2","1.429","101352.721","406.189","184.603","1053.291","0.117","0.083","","","","","","","","","","","","","","","","","","","17191580","11182551","6709824","","133953","100.33","65.26","39.16","7818","","17134873","508.544","43.2","18.779","11.881","48472.545","","109.361","5.29","24.4","27.3","","3.32","82.28","0.944",""
139,"NCL","Oceania","New Caledonia","2021-07-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115218","60764","54454","","566","40.36","21.28","19.07","1983","","285491","15.342","33.4","9.954","6.489","","","","23.36","","","","","77.55","",""
140,"NZL","Oceania","New Zealand","2021-07-09","2766","0","3.286","26","0","0","573.593","0","0.681","5.392","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822233","18.206","37.9","15.322","9.72","36085.843","","128.797","8.08","14.8","17.2","","2.61","82.29","0.931",""
141,"NIC","North America","Nicaragua","2021-07-09","8461","0","40.429","192","0","0.143","1277.218","0","6.103","28.983","0","0.022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6624554","51.667","27.3","5.445","3.519","5321.444","3.2","137.016","11.47","","","","0.9","74.48","0.66",""
142,"NER","Africa","Niger","2021-07-09","5532","3","5.714","194","0","0.143","228.532","0.124","0.236","8.014","0","0.006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24206636","16.955","15.1","2.553","1.378","926","44.5","238.339","2.42","0.1","15.4","8.978","0.3","62.42","0.394",""
143,"NGA","Africa","Nigeria","2021-07-09","168442","186","101.429","2122","0","0.143","817.126","0.902","0.492","10.294","0","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206139587","209.588","18.1","2.751","1.447","5338.454","","181.013","2.42","0.6","10.8","41.949","","54.69","0.539",""
144,"NIU","Oceania","Niue","2021-07-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1216","1184","32","","74","75.15","73.18","1.98","45735","","1618","","","","","","","","","","","","","73.71","",""
145,"OWID_NAM","","North America","2021-07-09","40015721","72424","36639","907543","879","548.571","67585.88","122.323","61.883","1532.825","1.485","0.927","","","","","","","","","","","","","","","","","","","451974360","260340981","203794207","1322768","1782958","76.34","43.97","34.42","3011","","592072204","","","","","","","","","","","","","","",""
146,"MKD","Europe","North Macedonia","2021-07-09","155770","10","10","5487","1","0.143","74767.925","4.8","4.8","2633.701","0.48","0.069","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2083380","82.6","39.1","13.26","8.16","13111.214","5","322.688","10.08","","","","4.28","75.8","0.774",""
147,"OWID_CYN","Asia","Northern Cyprus","2021-05-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129743","75463","54280","","575","33.94","19.74","14.2","1504","","","","","","","","","","","","","","","","",""
148,"NOR","Europe","Norway","2021-07-09","132966","293","173.857","796","0","0.286","24526.852","54.047","32.07","146.83","0","0.053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5421242","14.462","39.7","16.821","10.813","64800.057","0.2","114.316","5.31","19.6","20.7","","3.6","82.4","0.957",""
149,"OWID_OCE","","Oceania","2021-07-09","60628","924","680.857","1165","3","4.286","1420.598","21.651","15.953","27.298","0.07","0.1","","","","","","","","","","","","","","","","","","","10986720","8104753","2881967","164773","146875","25.74","18.99","6.75","3441","","42677809","","","","","","","","","","","","","","",""
150,"OMN","Asia","Oman","2021-07-09","281688","0","1597.714","3371","0","33","55161.318","0","312.871","660.123","0","6.462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5106622","14.98","30.7","2.355","1.53","37960.709","","266.342","12.61","0.5","15.6","97.4","1.6","77.86","0.813",""
151,"PAK","Asia","Pakistan","2021-07-09","971304","1828","1459.857","22555","35","25.143","4397.183","8.276","6.609","102.109","0.158","0.114","","","","","","","","","","48478","14960221","67.726","0.219","46150","0.209","","","tests performed","","","","","","","","","","","220892331","255.573","23.5","4.495","2.78","5034.708","4","423.031","8.35","2.8","36.7","59.607","0.6","67.27","0.557",""
152,"PSE","Asia","Palestine","2021-07-09","315047","178","91.143","3579","2","1.286","61756.775","34.892","17.866","701.57","0.392","0.252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5101416","778.202","20.4","3.043","1.726","4449.898","1","265.91","10.59","","","","","74.05","0.708",""
153,"PAN","North America","Panama","2021-04-29","364218","323","318","6227","5","4.143","84411.954","74.859","73.7","1443.183","1.159","0.96","1.01","","","","","","","","","8556","2381082","551.845","1.983","7739","1.794","0.041","24.3","tests performed","672159","482089","190070","28220","11637","15.58","11.17","4.41","2697","65.74","4314768","55.133","29.7","7.918","5.03","22267.037","2.2","128.346","8.33","2.4","9.9","","2.3","78.51","0.815",""
154,"PNG","Oceania","Papua New Guinea","2021-07-09","17292","0","27.714","177","0","0.571","1932.709","0","3.098","19.783","0","0.064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8947027","18.22","22.6","3.808","2.142","3823.194","","561.494","17.65","23.5","48.8","","","64.5","0.555",""
155,"PRY","South America","Paraguay","2021-07-09","435522","1258","1314.857","13806","77","97","61061.363","176.375","184.347","1935.639","10.796","13.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7132530","17.144","26.5","6.378","3.833","8827.01","1.7","199.128","8.27","5","21.6","79.602","1.3","74.25","0.728",""
156,"PER","South America","Peru","2021-07-09","2074186","0","2376","193909","0","174.571","62907.791","0","72.061","5881.048","0","5.295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32971846","25.129","29.1","7.151","4.455","12236.706","3.5","85.755","5.95","4.8","","","1.6","76.74","0.777",""
157,"PHL","Asia","Philippines","2021-07-09","1461455","5870","5276.714","25720","70","106.714","13336.745","53.568","48.154","234.712","0.639","0.974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109581085","351.873","25.2","4.803","2.661","7599.188","","370.437","7.07","7.8","40.8","78.463","1","71.23","0.718",""
158,"PCN","Oceania","Pitcairn","2021-06-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","47","","","0","100","100","","0","","47","","","","","","","","","","","","","","",""
159,"POL","Europe","Poland","2021-07-09","2880670","74","80.429","75152","17","12.429","76114.357","1.955","2.125","1985.7","0.449","0.328","","","","","","","","","","","","","","","","","","","31258249","17374533","14938143","253739","209543","82.59","45.91","39.47","5537","50","37846605","124.027","41.8","16.763","10.202","27216.445","","227.331","5.91","23.3","33.1","","6.62","78.73","0.88",""
160,"PRT","Europe","Portugal","2021-07-09","902489","3194","2578.143","17142","7","4.857","88507.888","313.238","252.841","1681.131","0.686","0.476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10196707","112.371","46.2","21.502","14.924","27936.896","0.5","127.842","9.85","16.3","30","","3.39","82.05","0.864",""
