"id","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality"
188,"SDN","Africa","Sudan","2021-07-09","36805","0","21","2760","0","0","839.353","0","0.479","62.943","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43849269","23.258","19.7","3.548","2.034","4466.507","","431.388","15.67","","","23.437","0.8","65.31","0.51",""
189,"SUR","South America","Suriname","2021-07-09","23169","172","158","568","5","4.143","39494.813","293.198","269.333","968.236","8.523","7.062","","","","","","","","","","","","","","","","","","","208227","167560","40667","","1251","35.5","28.56","6.93","2133","","586634","3.612","29.6","6.933","4.229","13767.119","","258.314","12.54","7.4","42.9","67.779","3.1","71.68","0.738",""
190,"SWE","Europe","Sweden","2021-07-09","1092540","232","237.143","14643","1","1.714","108180.096","22.972","23.481","1449.907","0.099","0.17","","","","","","","","","","","","","","","","","","","9086607","5523876","3562731","135305","131134","89.97","54.7","35.28","12985","","10099270","24.718","41","19.985","13.433","46949.283","0.5","133.982","4.79","18.8","18.9","","2.22","82.8","0.945",""
191,"CHE","Europe","Switzerland","2021-07-09","704943","323","229.857","10898","0","0.571","81452.815","37.321","26.559","1259.212","0","0.066","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.15","8654618","214.243","43.1","18.436","12.644","57410.166","","99.739","5.59","22.6","28.9","","4.53","83.78","0.955",""
192,"SYR","Asia","Syria","2021-07-09","25766","13","25.714","1896","1","2","1472.288","0.743","1.469","108.339","0.057","0.114","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17500657","","21.7","","2.577","","","376.264","","","","70.598","1.5","72.7","0.567",""
193,"TWN","Asia","Taiwan","2021-07-09","15185","36","39.143","730","12","7.714","637.576","1.512","1.643","30.651","0.504","0.324","","","","","","","","","","","","","","","","","","","3357000","3284679","72321","235919","154095","14.1","13.79","0.3","6470","","23816775","","42.2","","8.353","","","103.957","","","","","","80.46","",""
194,"TJK","Asia","Tajikistan","2021-07-09","13753","34","32.857","100","3","1.429","1441.971","3.565","3.445","10.485","0.315","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9537642","64.281","23.3","3.466","2.155","2896.913","4.8","427.698","7.11","","","72.704","4.8","71.1","0.668",""
195,"TZA","Africa","Tanzania","2021-07-09","509","0","0","21","0","0","8.521","0","0","0.352","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59734213","64.699","17.7","3.108","1.874","2683.304","49.1","217.288","5.75","3.3","26.7","47.953","0.7","65.46","0.529",""
196,"THA","Asia","Thailand","2021-07-09","317506","9276","6655","2534","72","56.143","4548.798","132.894","95.344","36.304","1.032","0.804","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69799978","135.132","40.1","11.373","6.89","16277.671","0.1","109.861","7.04","1.9","38.8","90.67","2.1","77.15","0.777",""
197,"TLS","Asia","Timor","2021-07-09","9710","53","49.857","25","0","0.143","7364.753","40.199","37.815","18.962","0","0.108","","","","","","","","","","","135026","102.413","","","","","","tests performed","","","","","","","","","","","1318442","87.176","18","3.556","1.897","6570.102","30.3","335.346","6.86","6.3","78.1","28.178","5.9","69.5","0.606",""
198,"TGO","Africa","Togo","2021-07-09","14176","0","25.286","133","0","0.429","1712.338","0","3.054","16.065","0","0.052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8278737","143.366","19.4","2.839","1.525","1429.813","49.2","280.033","6.15","0.9","14.2","10.475","0.7","61.04","0.515",""
199,"TON","Oceania","Tonga","2021-06-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28667","28667","","","425","27.12","27.12","","4021","35.19","105697","150.028","22.3","5.82","4.032","5425.621","","227.49","15.42","11.8","44.4","","2.6","70.91","0.725",""
200,"TTO","North America","Trinidad and Tobago","2021-07-09","34402","161","178.429","930","7","9.143","24581.794","115.042","127.495","664.527","5.002","6.533","","","","","","","","","","","","","","","","","","","365446","225311","140135","2863","6551","26.11","16.1","10.01","4681","","1399491","266.886","36.2","10.014","5.819","28763.071","","228.467","10.97","","","89.443","3","73.51","0.796",""
201,"TUN","Africa","Tunisia","2021-07-09","481735","8506","6996.286","16050","189","124.429","40760.688","719.712","591.972","1358.027","15.992","10.528","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11818618","74.228","32.7","8.001","5.075","10849.297","2","318.991","8.52","1.1","65.8","78.687","2.3","76.7","0.74",""
202,"TUR","Asia","Turkey","2021-07-09","5465094","0","4180.429","50096","0","38.143","64799.081","0","49.567","593.983","0","0.452","","","","","","","","","","","","","","","","","","","57248834","37530250","16893992","602377","734874","67.88","44.5","20.03","8713","","84339067","104.914","31.6","8.153","5.061","25129.341","0.2","171.285","12.13","14.1","41.1","","2.81","77.69","0.82",""
203,"TUV","Oceania","Tuvalu","2021-06-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4772","4772","","","169","40.47","40.47","","14332","","11792","373.067","","","","3575.104","3.3","","27.25","","","","","67.57","",""
204,"UGA","Africa","Uganda","2021-07-09","86140","559","579.714","2062","29","135.857","1883.212","12.221","12.674","45.08","0.634","2.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45741000","213.759","16.4","2.168","1.308","1697.707","41.6","213.333","2.5","3.4","16.7","21.222","0.5","63.37","0.544",""
205,"UKR","Europe","Ukraine","2021-07-09","2309264","1122","988.571","54917","23","32.857","52802.779","25.655","22.604","1255.712","0.526","0.751","","","","","","","","","","","","","","","","","","","3420668","2277226","1143442","114660","83765","7.82","5.21","2.61","1915","","43733759","77.39","41.4","16.462","11.133","7894.393","0.1","539.849","7.11","13.5","47.4","","8.8","72.06","0.779",""
206,"ARE","Asia","United Arab Emirates","2021-07-09","647182","1529","1562.429","1853","4","4","65435.372","154.594","157.974","187.353","0.404","0.404","","","","","","","","","","","","","","","","","","","15865306","7437635","6458478","69453","62432","160.41","75.2","65.3","6312","","9890400","112.442","34","1.144","0.526","67293.483","","317.84","17.26","1.2","37.4","","1.2","77.97","0.89",""
207,"GBR","Europe","United Kingdom","2021-07-09","5075945","35885","29162.571","128631","30","25.429","74771.598","528.607","429.582","1894.809","0.442","0.375","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.39","67886004","272.898","40.8","18.517","12.527","39753.244","0.2","122.137","4.28","20","24.7","","2.54","81.32","0.932",""
208,"USA","North America","United States","2021-07-09","33838746","48241","18488.714","606993","518","225.714","102231.043","145.742","55.857","1833.801","1.565","0.682","","","","","","","","","","","","","","","","","","","332966409","183542871","158629431","620612","593848","99.56","54.88","47.43","1776","","331002647","35.608","38.3","15.413","9.732","54225.446","1.2","151.089","10.79","19.1","24.6","","2.77","78.86","0.926",""
209,"UZB","Asia","Uzbekistan","2021-07-09","115011","482","480.429","764","4","3.143","3436.324","14.401","14.354","22.827","0.12","0.094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33469199","76.134","28.2","4.469","2.873","6253.104","","724.417","7.57","1.3","24.7","","4","71.72","0.72",""
210,"VAT","Europe","Vatican","2021-07-09","27","0","0","","","0","33374.536","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","809","","","","","","","","","","","","","75.12","",""
211,"VEN","South America","Venezuela","2021-07-09","282940","1033","1105","3264","11","15.714","9950.083","36.327","38.859","114.784","0.387","0.553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28435943","36.253","29","6.614","3.915","16745.022","","204.85","6.47","","","","0.8","72.06","0.711",""
212,"VNM","Asia","Vietnam","2021-07-08","24810","1425","1011.857","104","2","3.286","254.884","14.64","10.395","1.068","0.021","0.034","","","","","","","","","","","","","","","","","","","3983800","3734268","249532","22844","24290","4.09","3.84","0.26","250","","97338583","308.127","32.6","7.15","4.718","6171.884","2","245.465","6","1","45.9","85.847","2.6","75.4","0.704",""
213,"VNM","Asia","Vietnam","2021-07-09","26608","1798","1212.429","110","6","3.714","273.355","18.472","12.456","1.13","0.062","0.038","","","","","","","","","","","","","","","","","","","4010786","3752512","258274","26986","24020","4.12","3.86","0.27","247","","97338583","308.127","32.6","7.15","4.718","6171.884","2","245.465","6","1","45.9","85.847","2.6","75.4","0.704",""
214,"WLF","Oceania","Wallis and Futuna","2021-07-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8962","4569","4393","","4","79.69","40.63","39.06","356","","11246","","","","","","","","","","","","","79.94","",""
215,"OWID_WRL","","World","2021-07-09","186060062","502675","425069.571","4018993","8402","7870.143","23869.771","64.489","54.532","515.599","1.078","1.01","","","","","","","","","","","","","","","","","","","3391612082","1953754060","933881346","22314415","31460684","43.51","25.06","11.98","4036","","7794798729","58.045","30.9","8.696","5.355","15469.207","10","233.07","8.51","6.434","34.635","60.13","2.705","72.58","0.737",""
216,"YEM","Asia","Yemen","2021-07-09","6940","4","2.286","1366","1","0.714","232.683","0.134","0.077","45.799","0.034","0.024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29825968","53.508","20.3","2.922","1.583","1479.147","18.8","495.003","5.35","7.6","29.2","49.542","0.7","66.12","0.47",""
217,"ZMB","Africa","Zambia","2021-07-09","172405","1949","1684.571","2736","64","56.429","9378.014","106.016","91.633","148.825","3.481","3.069","","","","","","","","","","","","","","","","","","","175244","142198","33046","4006","2351","0.95","0.77","0.18","128","","18383956","22.995","17.7","2.48","1.542","3689.251","57.5","234.499","3.94","3.1","24.7","13.938","2","63.89","0.584",""
218,"ZWE","Africa","Zimbabwe","2021-07-09","65066","2683","1771.857","2084","55","34.714","4377.738","180.516","119.213","140.215","3.7","2.336","","","","","","","","","","","","","","","","","","","1464065","875182","588883","30487","15907","9.85","5.89","3.96","1070","","14862927","42.729","19.6","2.822","1.882","1899.775","21.4","307.846","1.82","1.6","30.7","36.791","1.7","61.49","0.571",""20
